,region,district,party,name,gender,birth,job,achievement,career,vote_rate,age,regeion,job2,achievement,,,,
40,전남,해남군완도군진도군,민주통합당,김영록,남,1955-02-17,국회의원,미국 뉴욕주 시라큐스대학 맥스웰대학원 행정학과 2년 졸업(학위명:행정학석사),(현)18대 국회의원,"44,085",62,전남,국회의원,미국,졸업(학위명:행정학석사),,,
183,경남,양산시,새누리당,윤영석,남,1964-10-07,아시아도시연맹 이사장,미국 듀크대(DUKE) 석사(MA 2002.07~2004.06),제37회 행정고시 합격,"56,808",53,경남,기업인,듀크대(DUKE),,,,
193,비례,비례대표,새누리당,이만우,남,1950-08-25,고려대 경제학과 교수,"미국 미네소타대 대학원 경제학과졸업(박사), (1978. 9 ~1983. 6)",(현)세제발전심의위원회 부위원장,,67,비례,교수,미네소타대,~1983.,6),,
299,전남,장흥군강진군영암군,민주통합당,황주홍,남,1952-02-27,정당인,미국 미주리대학교 대학원 정치학박사과정 5년 졸업(정치학박사),(전)전남 강진군수(3선),"34,837",65,전남,정당인,미주리대학교,,,,
151,경기,오산시,민주통합당,안민석,남,1966-08-13,국회의원,미국 북콜로라도주립대학교 교육학 박사(1990~1992),(현) 국회교육과학기술위원회 간사,"40,765",51,경기,국회의원,북콜로라도주립대학교,,,,
14,서울,양천구갑,새누리당,길정우,남,1955-02-04,한국예술종합학교 발전재단 이사,미국 예일대학교 인문대학원 정치학전공(박사)(수학기간:1981.9 ~1986.5),(전)중앙일보 논설위원,"61,058",62,서울,기타,예일대학교,,,,
31,대구,서구,새누리당,김상훈,남,1963-01-25,정당인,미국 오래곤대학교 행정대학원 행정학석사(2004.8 - 2006.6.17),(전)대구시 경제통상국장,"54,113",54,대구,정당인,오래곤대학교,,,,
152,비례,비례대표,새누리당,안종범,남,1959-07-15,성균관대학교 경제학과 교수,"미국 위스콘신대학교 대학원 경제학과졸업(박사),(1985.8~1991.5)",(현)성균관대학교 경제학과 교수,,58,비례,교수,위스콘신대학교,,,,
260,경북,영천시,새누리당,정희수,남,1953-10-25,국회의원,미국 일리노이대학교 대학원 경제학과 졸업(경제학 박사) (수학기간:1985.8~1992.10),(현)새누리당 영천시 국회의원,"23,331",64,경북,국회의원,일리노이대학교,(수학기간:1985.8~1992.10),,,
190,경남,통영시고성군,새누리당,이군현,남,1952-03-12,국회의원,미국 캔자스주립대학교 교육행정학 박사(1981.1.~1983.7.),現)제18대 국회의원,"50,625",65,경남,국회의원,캔자스주립대학교,,,,
231,대구,수성구갑,새누리당,이한구,남,1945-12-12,국회의원,"미국 캔자스주립대학교 대학원 경제학과 졸업(경제학 박사,81년~84년)",전) 국회 예산결산특별위원회 위원장,"60,588",72,대구,국회의원,캔자스주립대학교,,,,
139,서울,강동구갑,새누리당,신동우,남,1953-06-06,정당인,미국 펜실베니아대 대학원(경영학 전공) 졸업(1984~1986),(전)서울시환경관리실장,"62,489",64,서울,정당인,펜실베니아대,,,,
123,충북,청원군,민주통합당,변재일,남,1948-09-02,국회의원,미국 펜실베니아대학교 대학원 정치학 2년(81.9∼83. 5)졸업 (국제정치학 석사),(전)정보통신부 차관,"31,658",69,충북,국회의원,펜실베니아대학교,(국제정치학,석사),,
176,서울,송파구을,새누리당,유일호,남,1955-03-30,국회의원,미국 펜실베이니아대학 경제학박사(1981.8~1987.5),(전)한국조세연구원장,"49,929",62,서울,국회의원,펜실베이니아대학,,,,
50,비례,비례대표,새누리당,김장실,남,1956-03-15,정당인,미국 하와이대 대학원 정치학졸업(박사)(1989~1992),(전)문화체육관광부 제1차관,,61,비례,정당인,하와이대,,,,
255,충북,청주시상당구,새누리당,정우택,남,1953-02-18,정당인,미국 하와이대학교 대학원 경제학3년(1984. 6.~1987. 5.) 졸업(경제학 박사),"(전)15,16대 국회의원","55,141",64,충북,정당인,하와이대학교,졸업(경제학,박사),,
61,경기,수원시정,민주통합당,김진표,남,1947-05-04,국회의원,미국위스콘신대학원(매디슨캠퍼스) 공공정책학과 석사졸업(1986. 6 ~ 1988. 5),(전) 참여정부 경제·교육부총리,"68,274",70,경기,국회의원,위스콘신대학원(매디슨캠퍼스),5),,,
73,비례,비례대표,새누리당,김현숙,여,1966-05-10,숭실대 경제학과 부교수,미국일리노이주립대 경제학졸업(경제학박사)(1997.08~2003.05),(전)한국조세연구원 연구위원,,51,비례,교수,미국일리노이주립대,,,,
130,충남,서산시태안군,자유선진당,성완종,남,1951-08-20,기업인,미기재,(현)서산장학재단 이사장,"39,615",66,충남,기업인,,,,,
126,대구,북구을,새누리당,서상기,남,1946-01-29,국회의원,美드렉셀대학교 공학박사(1972.09~1976.06),(전)박근혜 한나라당 대통령 경선후보(17대) 대구 북구 선거대책위원장,"66,595",71,대구,국회의원,美드렉셀대학교,,,,
275,비례,비례대표,민주통합당,최동익,남,1962-04-08,실로암시각장애인복지관장,미시간대학 사회복지학 석사(1988.9~1989.8.),(현)한국장애인단체총연맹 대표,,55,비례,기타,미시간대학,,,,
