대여일자,대여시간,대여소번호,대여소명,대여구분코드,성별,연령대코드,이용건수,운동량,탄소량,이동거리,이동시간
2019-05-27,7,537,537. 한양대후문역 부근,정기권,F,20대,1,16.37,0.18,780.0,5
2019-05-29,3,2334,2334. 8.삼호@ 2동 ( 간선도로),정기권,,20대,1,117.41,1.01,4360.0,38
2019-05-30,20,602,602. 장안동 사거리,정기권,F,30대,1,80.05,0.72,3110.0,21
2019-05-26,16,907,907. CJ 드림시티,정기권,,20대,3,295.63,2.77,11920.0,50
2019-05-24,22,103,103. 망원역 2번출구 앞,정기권,,20대,1,0.00,0.00,0.0,9
2019-05-29,23,249,249. 여의도중학교 옆,정기권,F,20대,1,116.48,1.29,5550.0,42
2019-05-24,17,1165,1165. 마곡중학교 후문,일일권,F,30대,1,78.27,0.85,3660.0,37
2019-05-30,2,2230,2230.이수역 4번 출구,정기권,,30대,1,40.93,0.37,1590.0,10
2019-05-31,20,2301,2301. 현대고등학교 건너편,정기권,M,30대,2,55.89,0.50,2160.0,34
2019-05-24,13,116,116. 일진아이윌아파트 옆,정기권,M,30대,2,144.69,1.16,5040.0,24
2019-05-30,9,184,184. SK망원동주유소 건너편,정기권,F,30대,2,52.25,0.47,2030.0,21
2019-05-30,22,1153,"1153. 발산역 1번, 9번 인근 대여소",정기권,,40대,1,34.93,0.32,1400.0,6
2019-05-27,20,184,184. SK망원동주유소 건너편,정기권,,20대,1,96.55,0.70,3010.0,24
2019-05-26,11,1020,1020. 강동경찰서,일일권,M,20대,1,43.66,0.41,1750.0,13
2019-05-26,0,2228,2228.뒷벌공원 옆,정기권,,20대,1,43.80,0.37,1580.0,7
2019-05-30,16,571,571. 어린이대공원역6번출구,일일권,,~10대,1,0.00,0.00,0.0,43
2019-05-31,1,901,901. 응암1동사무소,정기권,,30대,1,517.02,4.45,19200.0,88
2019-05-25,8,3100,3100. 북성초교,정기권,M,30대,1,74.59,0.64,2770.0,12
2019-05-29,20,1538,1538. 솔밭공원역,정기권,,60대,1,88.85,0.64,2770.0,0
2019-05-29,13,1259,1259. 방이역 1번출구,정기권,F,50대,1,1244.01,11.21,48330.0,16
2019-05-27,15,1295,1295. 잠실역 8번출구,정기권,F,20대,1,43.50,0.39,1690.0,6
2019-05-26,20,836,836. 현대자동차서비스 앞,일일권,,20대,2,494.92,3.13,13480.0,86
2019-05-29,9,1149,1149. 신방화역환승주차장,정기권,,40대,1,46.33,0.42,1800.0,10
2019-05-27,0,1611,1611. 과기대 입구(우),정기권,M,20대,1,75.44,0.59,2540.0,14
2019-05-25,12,1684,1684. 태릉입구역 5번출구,정기권,F,20대,1,83.58,0.73,3150.0,19
2019-05-29,9,224,224. 롯데캐슬 앞,정기권,F,20대,1,1.52,0.02,70.0,1
2019-05-30,19,2617,2617. 가락삼환아파트 앞,정기권,,~10대,1,1057.33,6.26,26970.0,3
2019-05-29,6,119,119. 서강나루 공원,정기권,,40대,1,43.91,0.31,1320.0,7
2019-05-25,16,739,739. 신월사거리,정기권,F,20대,1,129.21,1.13,4870.0,24
2019-05-29,17,832,832. 이촌1동 주민센터 뒤,일일권,,30대,1,278.17,2.59,11150.0,43
2019-05-24,21,232,232. 양평우림 이비즈센타 앞,정기권,,50대,1,177.90,1.39,5990.0,29
2019-05-31,20,762,762. 오목로 무중력지대 앞,일일권,,20대,1,205.41,1.85,7980.0,52
2019-05-31,11,2217,2217.아크로리버뷰 부지 앞,정기권,M,50대,1,0.00,0.00,0.0,10
2019-05-31,6,2620,2620. 송파나루역 4번 출구옆,정기권,F,20대,1,15.44,0.15,650.0,3
2019-05-27,22,1297,1297. 석촌호수교차로(동호 팔각정 앞),정기권,F,30대,1,55.32,0.59,2540.0,20
2019-05-30,18,195,195. 모래내고가차도 ,정기권,M,20대,1,190.99,1.72,7420.0,39
2019-05-28,21,1235,1235. 잠실트리지움310동 옆,정기권,M,30대,2,19.96,0.15,630.0,6
2019-05-25,16,461,461. 서울지방경찰청,일일권,,20대,1,83.40,0.75,3240.0,31
2019-05-26,11,1222,1222. 잠실새내역 5번 출구 뒤,정기권,,20대,1,27.59,0.30,1290.0,11
2019-05-28,18,411,411. DMC홍보관,정기권,,30대,3,55.26,0.42,1820.0,16
2019-05-28,12,202,202. 국민일보 앞,정기권,,40대,1,74.13,0.60,2600.0,16
