"","user","grade","review"
"209","전경","10","대한민국은 좀비를 손으로 때려잡는다!!!!!!!!!!!! 기승전결이 뚜렷한~ 매우 흥미롭게 본 영화."
"210","얼씨구","8","한국형 괴수물. 적절한 민폐형 악당. 감동코드도 억지스럽지 않았다. #씨9네마"
"211","카리얀","8",""
"212","들풀처럼","8",""
"213","SON50","8",""
"214","tnanr","9",""
"215","fine investment","6","천만넘는 영화 이해불가중 하나."
"216","하루키","0","좀비마니아에겐 최악의 좀비영화 쓰레기중에 쓰레기입니다개연성x 스토리x 특수분장 개어색하고 cg도 어색함 주조연급 배우들이 연기를 잘해서 그렇지 안어울리는 옷입는 느낌이 너무 들어서 오글거림차라리 일본영화 아이엠히어로를 보시던지 새벽의 저주 10번 정주행하는게 좋을듯합니다"
"217","해물탕","10",""
"218","정지현","7","기대에 못미침"
"219","helen","6",""
"220","푸","4",""
"221","잠시수다","5",""
"222","메텔","7",""
"223","최수정","7",""
"224","humptime","4","스토리텔링 부족이 너무 심하게 걸린다."
"225","소연실","10",""
"226","247fluffy","9",""
"227","수룡의 검","8",""
"228","장재호","8",""
"229","Ju","6",""
"230","나나꼬","9",""
"231","추전","5",""
"232","ta","8",""
"233","장민혁","8",""
"234","이민규","7",""
"235","비우기","7",""
"236","이경은","10",""
"237","최승만","8",""
"238","니르바나","10","왜 좀비인지 확실하게 보여준다."
"239","-0-","8",""
"240","Lily","10",""
"241","명진하이테크","10",""
"242","정서린","10",""
"243","┏★칼로★┛","8",""
"244","삼산돌이","0","기대하지 마시오."
"245","붉은대륙","9","상업영화는 이렇게 만들어야 하는거다."
"246","강지은","7",""
"247","오버앤아웃","8",""
"248","하늘소","8",""
"249","수사불패","9",""
"250","금호전기","1",""
"251","낙타주인","9",""
"252","정지된 여행자","9",""
"253","juju1","8",""
"254","김민","9",""
"255","초심부터","7",""
"256","bllowind","10",""
"257","wawa","10","별다섯개"
"258","captain","8",""
"259","Midas","8","좀비영화 매니아는 2억달러 제작비 들은 월드워Z같은 외국영화를 보시는게 낫습니다.재난영화 매니아가 보기에는 적절한 영화라 생각되네요."
"260","love스틸","8",""
"261","한라신비","3","난 이영화가  마지막  장면   부녀지간의   내용말고는   왜 천만이상이  보았는지   절대 이해불가..좀비도  어설프고  좀비랑  맨몸으로  싸워  이기는  장면 헐   유치하기  그지없구만  참내  어이없네"
"262","GenSolution","7","돼지의 왕, 사이비에서 보여줬던 스토리 텔링의 저력, 연상호라 믿고 봤다."
"263","노윤주","10","너무감동적입니다"
"264","주재영","2","잘 만들었지만 주인공이 죽는것이 아쉽고 주인공 약으로 살리지 않았던 부분이 아쉬운부분있지 않나"
"265","리븐","3",""
"266","솔","8","2번인가 3번 본 것 같은데...재미있게 봤다."
"267","민아샘","8","이 정도면 아주 훌륭하지.부산행의 여러가지 성취가 앞으로의 우리 영화계에 미칠 영향이 궁금해지네."
"268","와앙","10",""
"269","푸른하늘","1",""
"270","야곱이예요","9","좀비연기자분들 진심 고생하셨습니다살벌했습니다 영화 재밌었구요겁나 울었네요...김의성 아저씨 진짜 죽이고싶었네요ㅜㅜ"
"271","돌아이","2","시간낭비"
"272","최유준","8",""
"273","김영석","10",""
"274","김수연","9","역시 공유  최고멋있고 연기잘함"
"275","잠순이","7","눈물난 좀비 영화는 첨인것같다"
"276","혜정이라넹..♡","9","."
"277","alchduel","10","잼있고 끝까지 긴장하게 만든다.후반에 갈수록 슬프고..."
"278","하아트","5",""
"279","pluto","7",""
"280","헬로우","4","액션이나 연기는 굿다소 엉성한 설정과 어설픈 결말 ㅠ 마동석이 때리면 좀비들이 날아간다던지..."
"281","팅","10","잼있고 슬프네요"
"282","☆도사★","5",""
"283","헤이콘타","8","아주 재미있지는 않았지만 볼 만했습니다."
"284","오마비스켈","8","."
"285","뒹구르르","8","지금 영화채널에서 해줘서 다시보고 있는데도 재밌네.. 좀비영화에 빗대어 한국의 현실을 잘 드러낸듯! 이기적인 사람들, 재난 상황에서의 무정부 사태.. 죄없이 희생되는 국민들... 메르스와 세월호 사태가 겹쳐져 보여서 더 슬프고 감정이입이 되었다"
"286","피델리오","0","이걸 천만명이나 본게 이해가 안된다."
"287","마호가니숲의북극곰","0","돈 내고 본 천만명 중의 하나가 아니라 행복하다."
"288","Bruno Mars","7","스트레스받아 죽는줄ㅋㅋ 나쁜사람은어딜가나있네 끝까지살아남아 피해만주네ㅠ 죽을때도 악마같이 피해만주고 죽네한국영화좀비라 기대안했는데  잘만들었네"
"289","바람도리","0","상호야 재능 없으면 영화 만들지마라. 뭐냐 이게. 누가 뒤 봐주지? 니 능력으로 이만한 스폰서 받는게 이상하다. 뒷줄이 든든한가보네. 영화만들지 마라"
"290","jhy","1","이런 영화가 천만영화라니 도저히 이해가 안가네 ....."
"291","infernoagent","4","SF나 호러, 판타지 등 현실이 아닌 영화는 스토리를 관객에게 얼마나 설득력있게 전달하느냐가 관건인데, 이 영화는 그런 개연성의 전개면에서 많이 부족하다. 감독이 주로 에니메이션을 하다보니, 만화적 스토리를 실사로 옮기면서 스토리전개의 디테일이 부족한 게 드러남. 한국에서 천만관객은 작품 완성도와는 무관함을"
"292","블루워터","10",""
"293","하늘자유","8",""
"294","박수정","8",""
"295","아브라함","8",""
"296","탱_TH","7",""
"297","재영","7",""
"298","마리아0311(임유정)","9",""
"299","신진설","8",""
"300","문성경","10",""
"301","다다다","10",""
"302","흘러가는","6",""
"303","나우성","7",""
"304","SalmaHayek","1","이게 도대체 어떻게 일천백만이상 관객이 봤는지가 제일 의문"
"305","이민영","8","'열차 안'으로 설정한 게 신의 한 수"
"306","망고","9","."
"307","스카루달스","8",""
"308","제갈공명","10","한치도 눈을 땔 수없는 숨막히는 긴장감이 보는 내내 넋을 보고 봤습니다. 그리고, 진짜로 무서운 괴물이란 것은 우리 내면에 있는 이기적인 생각과 차별이라는 것을 생각하게 됐습니다. 또한, 가족의 소중함을 일깨워주는 영화였습니다. 우리만의 정서가 담긴 좀비 영화였습니다."
"309","hyahn","10","기차라는 특수한 공간에서 벌어지는 좀비 소탕기. 오락영화로서 너무 훌륭했다."
"310","YEON","10","3번봐도마음졸이며 감동받으며 재밌게 봄"
"311","슈트라우스","10","좀비영화보면서 운건또 처음이네요..많이 무섭지않아서 겁많은사람들이 보기도 좋은거같고 진짜 보면서 계속 울었네요.핳"
"312","날숨","0","본 사람들이 영화보는 시간 내내, 좀비들 머리 흔드는 것만 보았다고 말하더군요. 관람하지 마세요. 시간과 돈이 아깝습니다."
"313","백두산","10","쫄깃..."
"314","정윤화","10","좀비  영화답지  않게  가족의  따뜻한  사랑이  보이는  영화 입니다."
"315","witcher","0","월드워Z  영화장면 부분별로 빼끼고 이런 영화가  좀비영화라니  차라리 부산행 영화볼 돈으로 레지던트 이블이나 언더월드, 블레이드 영화 보는게 돈 아깝지 않죠창의성없고 유명 영화배우 등장시키고 아무 내용없고 그저 흥행위주만 목적뿐이니 이게 좀비영화라니  투자한 돈이 아까움"
"316","천사랑","1","이 영화가 천만관객이라니  믿기지  않는다.3백만정도 영화다.스토리도 허술하고 몇몇 허리우드 영화 같은 cg장면은 칭찬할 만하지만...."
"317","phoenixDown","1","연출과 스토리가 너무 유치하다."
"318","호두마루","10","지역감정 조장하는 미개인들 빼고 이 영화를 본사람이라면 누구나 10점..수많은 좀비 영화중에 가장 스릴있고 가장 감동적인 영화였음..시간가는줄 몰랐음..좀비영화 임에도 감동으로 눈물이 나기는 처음.."
"319","나메크인","0","이런유치한것두 돈주고보는사람들 정신상태가 이상타  해유대  부산행 누가만든건지 유치하고 뽀샷버리고싶다"
"320","pearl","3","아...좀 보려했더니 정말 유치하고 스릴감없고 어이없고..흠냐...정말 재미없다.....ㅠㅠ......"
"321","아우토반","1","이 영화가 1000만이 들었다는게 미스테리다!"
"322","버뮤다삼각김밥","0","내 일생의 최악의 영화! 부산이 최고라는 영화."
"323","하마","6","그냥  재미있는 영화   먼가   허전한  구성"
"324","뿅","7","다 괜찮게 만들었는데한국영화 문제점이 꼭 신파를 넣어서 배렸다"
"325","에릭칼멘","0","7번방의 선물과 더불어 내가 본 최악의 천만관객 영화~"
"326","박주란","5",""
"327","Whoney","7",""
"328","하늘사람","8",""
"329","바라니","9",""
"330","온새미로","7",""
"331","김민주","7",""
"332","grandbleu","9","재미있었고 매 순간바다 박진감이 넘친다고 해야 하나  한신도 맘을 놓을 틈이 없네요.  다만 한국 특유의 감성팔이 (공유 죽으며 딸 회상) 좀더 짧았따면 더 좋았을텐데  그부분이 좀 늘어지는거 말고는 짱입니다"
"333","고구려인","9",""
"334","아미새","7",""
"335","퍼즐","9",""
"336","주미","1","한국에 왠 좀비? 더군다나 양키 좀비보다 더 빨리달리는 진화한 좀비.부산행 2편 제작하면? 유일하게 한국에서 생각하는 좀비도 나올듯.왜 1,000만 관객이 넘은지 이해안되는 최악의 영화."
"337","겸이","9",""
